"","ZIP","Total_Occ_Houses","Owner_Occ_Houses","Renter_Occ_Houses"
"1","07001",5022,2531,2491
"2","07002",24967,9604,15363
"3","07003",18577,9564,9013
"4","07004",2621,2387,234
"5","07005",5489,4011,1478
"6","07006",9576,7356,2220
"7","07008",7925,4574,3351
"8","07009",4530,3626,904
"9","07010",10512,4777,5735
"10","07011",12649,5959,6690
"11","07012",4578,2532,2046
"12","07013",10011,6988,3023
"13","07014",1844,1331,513
"14","07016",8894,7030,1864
"15","07017",13167,3772,9395
"16","07018",10377,2247,8130
"17","07020",5751,2026,3725
"18","07021",765,718,47
"19","07022",5236,1672,3564
"20","07023",2506,2217,289
"21","07024",17479,10375,7104
"22","07026",11563,4673,6890
"23","07027",1725,1016,709
"24","07028",2495,2279,216
"25","07029",7266,1987,5279
"26","07030",25182,8263,16919
"27","07031",6384,3350,3034
"28","07032",13351,6248,7103
"29","07033",2733,1909,824
"30","07034",3318,2073,1245
"31","07035",3726,2937,789
"32","07036",15406,8671,6735
"33","07039",10225,8854,1371
"34","07040",7945,6148,1797
"35","07041",2513,1647,866
"36","07042",10436,5286,5150
"37","07043",4132,3405,727
"38","07044",5310,4278,1032
"39","07045",3883,3734,149
"40","07046",1357,1295,62
"41","07047",21794,8756,13038
"42","07050",11682,2391,9291
"43","07052",16414,11413,5001
"44","07054",11164,5613,5551
"45","07055",19854,4444,15410
"46","07057",4683,1961,2722
"47","07058",1825,1036,789
"48","07059",5192,4788,404
"49","07060",14971,6018,8953
"50","07062",4029,2397,1632
"51","07063",3988,2479,1509
"52","07064",1316,1109,207
"53","07065",11304,6748,4556
"54","07066",5932,4625,1307
"55","07067",6197,5461,736
"56","07068",2349,1820,529
"57","07069",2099,1744,355
"58","07070",6977,4457,2520
"59","07071",8738,4928,3810
"60","07072",2414,1524,890
"61","07073",3966,1356,2610
"62","07074",937,669,268
"63","07075",3315,2340,975
"64","07076",8747,7168,1579
"65","07077",970,667,303
"66","07078",4143,3736,407
"67","07079",5162,3522,1640
"68","07080",7924,6694,1230
"69","07081",6901,4239,2662
"70","07082",1579,1468,111
"71","07083",19094,14341,4753
"72","07086",6633,1999,4634
"73","07087",24512,5102,19410
"74","07088",1246,762,484
"75","07090",10280,8465,1815
"76","07092",2528,2302,226
"77","07093",24117,5553,18564
"78","07094",7557,4395,3162
"79","07095",7438,4179,3259
"80","07102",5501,445,5056
"81","07103",11835,2711,9124
"82","07104",18934,4319,14615
"83","07105",17320,3773,13547
"84","07106",11575,3650,7925
"85","07107",13207,2848,10359
"86","07108",8928,1446,7482
"87","07109",12189,6311,5878
"88","07110",11033,7215,3818
"89","07111",20024,5590,14434
"90","07112",9695,2590,7105
"91","07114",3375,538,2837
"92","07201",8651,1992,6659
"93","07202",13097,3073,10024
"94","07203",7402,4226,3176
"95","07204",4948,2860,2088
"96","07205",7342,4935,2407
"97","07206",7894,1996,5898
"98","07208",11123,2801,8322
"99","07302",22355,5840,16515
"100","07304",16075,4649,11426
"101","07305",22652,9121,13531
"102","07306",20107,4571,15536
"103","07307",15721,4956,10765
"104","07310",6097,890,5207
"105","07311",205,0,205
"106","07401",2210,1848,362
"107","07403",2953,1954,999
"108","07405",6394,4916,1478
"109","07407",6738,3807,2931
"110","07410",11387,9030,2357
"111","07416",2232,1650,582
"112","07417",3845,3435,410
"113","07418",762,744,18
"114","07419",3592,2794,798
"115","07420",1716,1334,382
"116","07421",2653,2384,269
"117","07422",2334,2224,110
"118","07423",1438,1322,116
"119","07424",9756,6610,3146
"120","07430",9778,7580,2198
"121","07432",2669,1790,879
"122","07435",852,751,101
"123","07436",4237,3836,401
"124","07438",4386,4078,308
"125","07439",827,694,133
"126","07440",1513,1245,268
"127","07442",4004,2950,1054
"128","07444",4658,3665,993
"129","07446",5512,4787,725
"130","07450",8310,6494,1816
"131","07452",3776,3569,207
"132","07456",4092,3899,193
"133","07457",1817,1284,533
"134","07458",3859,3365,494
"135","07460",1269,1187,82
"136","07461",6583,5587,996
"137","07462",2553,1858,695
"138","07463",3566,3123,443
"139","07465",2553,2166,387
"140","07470",18350,14588,3762
"141","07480",6026,5357,669
"142","07481",5833,5260,573
"143","07495",0,0,0
"144","07501",10745,1486,9259
"145","07502",4504,2246,2258
"146","07503",5399,1653,3746
"147","07504",3682,1244,2438
"148","07505",1034,45,989
"149","07506",7118,4208,2910
"150","07508",7541,4810,2731
"151","07512",3595,2955,640
"152","07513",3324,1008,2316
"153","07514",6099,1704,4395
"154","07522",6078,1303,4775
"155","07524",4181,1069,3112
"156","07601",19080,6328,12752
"157","07603",2792,2017,775
"158","07604",4224,2768,1456
"159","07605",3355,2127,1228
"160","07606",794,368,426
"161","07607",3511,2306,1205
"162","07608",40,0,40
"163","07620",564,477,87
"164","07621",8946,6192,2754
"165","07624",2778,2291,487
"166","07626",2812,2394,418
"167","07627",1680,1474,206
"168","07628",6370,4672,1698
"169","07630",2541,2178,363
"170","07631",11087,6056,5031
"171","07632",1843,1659,184
"172","07640",1626,1514,112
"173","07641",1113,1059,54
"174","07642",3475,2958,517
"175","07643",4096,1750,2346
"176","07644",8805,3878,4927
"177","07645",2975,2627,348
"178","07646",5859,3650,2209
"179","07647",1713,1426,287
"180","07648",2160,1767,393
"181","07649",2788,2470,318
"182","07650",7403,2719,4684
"183","07652",8232,7069,1163
"184","07656",3259,2650,609
"185","07657",3827,1728,2099
"186","07660",4720,2584,2136
"187","07661",3867,2935,932
"188","07662",2001,1487,514
"189","07663",5328,3665,1663
"190","07666",13072,9502,3570
"191","07670",4690,3659,1031
"192","07675",10034,7568,2466
"193","07676",3320,3118,202
"194","07677",1963,1746,217
"195","07701",9950,6670,3280
"196","07702",1434,1299,135
"197","07703",52,36,16
"198","07704",1822,1701,121
"199","07711",605,517,88
"200","07712",16726,7792,8934
"201","07716",3572,2546,1026
"202","07717",897,598,299
"203","07718",2355,2072,283
"204","07719",8395,5981,2414
"205","07720",2152,1024,1128
"206","07721",1247,747,500
"207","07722",3282,2932,350
"208","07723",279,156,123
"209","07724",8740,5750,2990
"210","07726",15482,13138,2344
"211","07727",2532,1777,755
"212","07728",19954,14679,5275
"213","07730",5821,5094,727
"214","07731",12792,11388,1404
"215","07732",2658,1681,977
"216","07733",5831,5085,746
"217","07734",4861,2897,1964
"218","07735",7104,5242,1862
"219","07737",1435,1253,182
"220","07738",2089,1871,218
"221","07739",2043,1935,108
"222","07740",12130,5111,7019
"223","07746",5874,5652,222
"224","07747",11892,9087,2805
"225","07748",9645,7956,1689
"226","07750",1414,1170,244
"227","07751",6222,5590,632
"228","07753",15730,10238,5492
"229","07755",2222,1982,240
"230","07756",1937,749,1188
"231","07757",2238,1835,403
"232","07758",1572,1357,215
"233","07760",3128,2709,419
"234","07762",4038,2634,1404
"235","07764",2485,1884,601
"236","07801",8123,3991,4132
"237","07803",1257,1117,140
"238","07820",0,0,0
"239","07821",3352,2945,407
"240","07822",279,269,10
"241","07823",3331,2257,1074
"242","07825",3489,3033,456
"243","07826",2261,1857,404
"244","07827",1668,1363,305
"245","07828",5854,2864,2990
"246","07830",2338,2207,131
"247","07832",1273,1132,141
"248","07833",56,41,15
"249","07834",6803,5725,1078
"250","07836",4536,3052,1484
"251","07838",1139,942,197
"252","07840",11754,7722,4032
"253","07842",45,45,0
"254","07843",4556,3712,844
"255","07846",15,15,0
"256","07847",746,652,94
"257","07848",1724,1482,242
"258","07849",3670,3084,586
"259","07850",2238,1665,573
"260","07851",29,26,3
"261","07852",1495,1305,190
"262","07853",4181,4006,175
"263","07856",1748,1218,530
"264","07857",1430,678,752
"265","07860",9568,7245,2323
"266","07863",1465,1226,239
"267","07865",665,612,53
"268","07866",8623,7341,1282
"269","07869",9169,6895,2274
"270","07870",16,7,9
"271","07871",7188,6478,710
"272","07874",3055,2698,357
"273","07876",3548,3291,257
"274","07878",240,214,26
"275","07880",60,60,0
"276","07881",4,4,0
"277","07882",5676,4081,1595
"278","07885",3837,2401,1436
"279","07901",8376,5702,2674
"280","07920",9802,8118,1684
"281","07921",3794,2896,898
"282","07922",4144,3932,212
"283","07924",2581,2219,362
"284","07926",9,0,9
"285","07927",1590,1065,525
"286","07928",6482,5527,955
"287","07930",3027,2779,248
"288","07931",1031,908,123
"289","07932",3992,2726,1266
"290","07933",1116,992,124
"291","07934",516,461,55
"292","07935",141,118,23
"293","07936",3771,3586,185
"294","07939",43,13,30
"295","07940",5589,3779,1810
"296","07945",3109,2853,256
"297","07946",1110,1021,89
"298","07950",7147,5579,1568
"299","07960",18047,11040,7007
"300","07961",0,0,0
"301","07970",57,57,0
"302","07974",4134,3407,727
"303","07976",302,228,74
"304","07977",231,128,103
"305","07979",205,205,0
"306","07980",905,641,264
"307","07981",3558,3041,517
"308","08001",326,261,65
"309","08002",8956,5770,3186
"310","08003",10870,9587,1283
"311","08004",4029,3627,402
"312","08005",9357,8205,1152
"313","08006",177,161,16
"314","08007",2120,1248,872
"315","08008",3510,3213,297
"316","08009",4988,4248,740
"317","08010",4343,2572,1771
"318","08011",0,0,0
"319","08012",14658,9767,4891
"320","08014",187,113,74
"321","08015",7161,5643,1518
"322","08016",12145,8923,3222
"323","08019",370,304,66
"324","08020",953,926,27
"325","08021",18316,9705,8611
"326","08022",3711,3524,187
"327","08023",143,34,109
"328","08026",760,727,33
"329","08027",1926,1547,379
"330","08028",6479,4247,2232
"331","08029",1972,1416,556
"332","08030",4623,3165,1458
"333","08031",4392,2761,1631
"334","08033",6054,4617,1437
"335","08034",6893,5482,1411
"336","08035",3004,2426,578
"337","08036",2240,2065,175
"338","08037",8325,6448,1877
"339","08038",45,40,5
"340","08039",45,21,24
"341","08041",330,297,33
"342","08042",67,53,14
"343","08043",11017,7353,3664
"344","08045",1129,709,420
"345","08046",10693,8476,2217
"346","08048",4687,3399,1288
"347","08049",2033,1431,602
"348","08050",9935,8395,1540
"349","08051",4176,3314,862
"350","08052",8285,3887,4398
"351","08053",17624,13381,4243
"352","08054",17302,13141,4161
"353","08055",10013,8709,1304
"354","08056",1509,1445,64
"355","08057",7227,5910,1317
"356","08059",2127,1557,570
"357","08060",8885,6631,2254
"358","08061",946,847,99
"359","08062",5344,4922,422
"360","08063",1117,914,203
"361","08064",30,30,0
"362","08065",2825,1963,862
"363","08066",3635,2200,1435
"364","08067",587,521,66
"365","08068",2812,1678,1134
"366","08069",4720,2459,2261
"367","08070",5000,3703,1297
"368","08071",3544,2608,936
"369","08072",100,100,0
"370","08073",46,46,0
"371","08074",0,0,0
"372","08075",10947,7802,3145
"373","08077",6898,6068,830
"374","08078",3149,2157,992
"375","08079",3870,2348,1522
"376","08080",13396,11878,1518
"377","08081",16791,13745,3046
"378","08083",3718,2806,912
"379","08084",2551,1969,582
"380","08085",6755,5713,1042
"381","08086",3158,2206,952
"382","08087",10917,9166,1751
"383","08088",9269,8633,636
"384","08089",1502,1270,232
"385","08090",2775,2524,251
"386","08091",1957,1333,624
"387","08092",1377,1067,310
"388","08093",3663,2329,1334
"389","08094",14659,12639,2020
"390","08095",17,17,0
"391","08096",13717,9673,4044
"392","08097",1148,1013,135
"393","08098",3269,2327,942
"394","08102",2415,569,1846
"395","08103",4726,1921,2805
"396","08104",8350,2923,5427
"397","08105",8741,3939,4802
"398","08106",3793,2434,1359
"399","08107",5335,2852,2483
"400","08108",7631,5108,2523
"401","08109",8422,6120,2302
"402","08110",5687,4404,1283
"403","08201",3900,2573,1327
"404","08202",809,758,51
"405","08203",4052,3003,1049
"406","08204",7735,6021,1714
"407","08205",10210,7908,2302
"408","08210",6381,5199,1182
"409","08212",92,89,3
"410","08215",5310,3711,1599
"411","08217",0,0,0
"412","08221",2509,2142,367
"413","08223",1806,1574,232
"414","08224",185,158,27
"415","08225",2863,2624,239
"416","08226",5253,3746,1507
"417","08230",2085,1892,193
"418","08232",6250,3158,3092
"419","08234",13914,12128,1786
"420","08240",0,0,0
"421","08241",404,381,23
"422","08242",1274,962,312
"423","08243",1111,1008,103
"424","08244",4425,2556,1869
"425","08246",52,52,0
"426","08247",498,451,47
"427","08248",55,55,0
"428","08251",4134,3355,779
"429","08260",6103,3953,2150
"430","08270",3014,2268,746
"431","08302",13927,8342,5585
"432","08310",577,413,164
"433","08311",647,472,175
"434","08312",2967,2307,660
"435","08314",174,165,9
"436","08316",99,99,0
"437","08317",525,457,68
"438","08318",4545,4084,461
"439","08319",414,411,3
"440","08320",0,0,0
"441","08321",83,49,34
"442","08322",3688,3353,335
"443","08323",231,179,52
"444","08324",108,108,0
"445","08326",474,363,111
"446","08327",175,146,29
"447","08328",526,503,23
"448","08329",152,114,38
"449","08330",10566,7757,2809
"450","08332",13741,9223,4518
"451","08340",453,371,82
"452","08341",1032,444,588
"453","08343",1718,1529,189
"454","08344",1812,1584,228
"455","08345",231,192,39
"456","08346",292,261,31
"457","08348",62,45,17
"458","08349",697,617,80
"459","08350",232,218,14
"460","08352",164,146,18
"461","08353",152,105,47
"462","08360",14631,8672,5959
"463","08361",6489,5271,1218
"464","08401",15504,4223,11281
"465","08402",2933,2379,554
"466","08403",464,401,63
"467","08406",4366,2856,1510
"468","08501",2355,2179,176
"469","08502",3612,2845,767
"470","08505",6880,5176,1704
"471","08510",1812,1674,138
"472","08511",383,318,65
"473","08512",4078,2451,1627
"474","08514",1894,1714,180
"475","08515",1702,1560,142
"476","08518",2255,1500,755
"477","08520",9281,6436,2845
"478","08525",1864,1515,349
"479","08527",20389,17332,3057
"480","08528",64,48,16
"481","08530",3084,2081,1003
"482","08533",2440,2096,344
"483","08534",4739,4132,607
"484","08535",1583,1476,107
"485","08536",7805,3470,4335
"486","08540",17485,11748,5737
"487","08542",1733,506,1227
"488","08550",6657,5655,1002
"489","08551",1797,1659,138
"490","08553",243,199,44
"491","08554",1494,1205,289
"492","08555",294,262,32
"493","08558",2578,2303,275
"494","08559",2118,1696,422
"495","08560",1367,1245,122
"496","08561",102,86,16
"497","08562",1768,1036,732
"498","08608",539,11,528
"499","08609",4163,1008,3155
"500","08610",11145,7067,4078
"501","08611",8306,2603,5703
"502","08618",13061,5719,7342
"503","08619",8709,6043,2666
"504","08620",4055,3289,766
"505","08628",3786,2384,1402
"506","08629",4077,2611,1466
"507","08638",8031,4745,3286
"508","08640",903,5,898
"509","08641",1162,0,1162
"510","08648",11588,7819,3769
"511","08690",6909,5998,911
"512","08691",6281,5451,830
"513","08701",23781,11962,11819
"514","08720",252,200,52
"515","08721",7382,6053,1329
"516","08722",3740,3217,523
"517","08723",13021,10134,2887
"518","08724",16510,14270,2240
"519","08730",1755,1612,143
"520","08731",7618,6842,776
"521","08732",598,484,114
"522","08733",927,604,323
"523","08734",3373,3004,369
"524","08735",2026,1817,209
"525","08736",4904,4314,590
"526","08738",618,576,42
"527","08740",691,498,193
"528","08741",995,904,91
"529","08742",9807,7762,2045
"530","08750",1295,1250,45
"531","08751",2059,1116,943
"532","08752",1185,888,297
"533","08753",23261,17945,5316
"534","08755",10273,8622,1651
"535","08757",16599,14344,2255
"536","08758",3537,2872,665
"537","08759",19376,16670,2706
"538","08801",2564,2168,396
"539","08802",1399,1279,120
"540","08804",972,878,94
"541","08805",4161,2300,1861
"542","08807",13183,10854,2329
"543","08808",85,66,19
"544","08809",2202,1630,572
"545","08810",3096,2558,538
"546","08812",4563,3589,974
"547","08816",16435,13305,3130
"548","08817",15564,8608,6956
"549","08820",12891,9499,3392
"550","08821",145,136,9
"551","08822",11159,8746,2413
"552","08823",3662,2516,1146
"553","08824",4055,3672,383
"554","08825",1705,1239,466
"555","08826",2087,1703,384
"556","08827",1689,1491,198
"557","08828",956,724,232
"558","08829",1502,1136,366
"559","08830",6431,4591,1840
"560","08831",21111,18706,2405
"561","08832",1052,249,803
"562","08833",3151,2759,392
"563","08835",3761,2484,1277
"564","08836",1327,1230,97
"565","08837",6100,3179,2921
"566","08840",6073,4782,1291
"567","08844",13803,11722,2081
"568","08846",4868,3374,1494
"569","08848",3172,2903,269
"570","08850",2827,2317,510
"571","08852",6736,4674,2062
"572","08853",1769,1564,205
"573","08854",16176,10908,5268
"574","08857",14872,9985,4887
"575","08858",35,35,0
"576","08859",8446,5318,3128
"577","08861",16684,5214,11470
"578","08863",4268,2974,1294
"579","08865",11755,7712,4043
"580","08867",1819,1560,259
"581","08869",2995,1648,1347
"582","08872",7262,4230,3032
"583","08873",20419,14344,6075
"584","08876",8282,5580,2702
"585","08879",8645,4835,3810
"586","08880",1590,904,686
"587","08882",5752,3595,2157
"588","08884",3207,2481,726
"589","08886",2555,2096,459
"590","08887",501,397,104
"591","08889",4233,3846,387
"592","08890",8,0,8
"593","08901",15328,2864,12464
"594","08902",14488,8073,6415
"595","08904",5735,2394,3341
